file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,174,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,31
style.css,175,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,15
style.css,176,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,11
style.css,177,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,35
style.css,178,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,179,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,180,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,17
style.css,181,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,13
style.css,182,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,19
style.css,183,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,15
style.css,184,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,23
style.css,185,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,13
style.css,186,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,187,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,188,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,18
style.css,189,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,15
style.css,190,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,17
style.css,191,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,14
style.css,192,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,17
style.css,193,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,194,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,195,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,8
style.css,196,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,13
style.css,197,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,58
style.css,198,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,13
style.css,199,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,22
style.css,200,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,18
style.css,201,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,16
style.css,202,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,203,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,204,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,11
style.css,205,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,13
style.css,206,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,19
style.css,207,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,9
style.css,208,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,209,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,0
style.css,210,css,f2d1eb42,KevinMyo,2025-02-07,14:27:16,-08:00,2025-02-07T14:27:16-08:00,0,16
